Back Swimmer,Body Length mm,Control,BodySpeed_mm_s,Body_Speed_BL_s,DF_L1,DF_R1,DF_L2,DF_R2,DF_L3,DF_R3,SF_L1,SF_R1,SF_L2,SF_R2,SF_L3,SF_R3,GI_real,GI_img
1,13.37,Air,37.62,2.813762154,0.568345324,0.622302158,0.647482014,0.661870504,0.514388489,0.514388489,4.316546763,3.125,4.119850187,4.460966543,5.019305019,5.019305019,-0.071942,0.21223
2,13.37,Air,26.09,1.951383695,0.545679012,0.496296296,0.64691358,0.67654321,0.627160494,0.637037037,4.071246819,4.473684211,4.197530864,4.444444444,4.197530864,4.197530864,-0.064198,0.029383
3,13.37,Air,14.48,1.08302169,0.655279503,0.727743271,0.66873706,0.766045549,0.444099379,0.444099379,4.004214963,3.105590062,2.94426919,2.962962963,5.590062112,5.590062112,0.12609,0.18116
4,13.96,Air,32.339,2.316547278,0.769110764,0.733229329,0.561622465,0.683307332,0.496099844,0.516380655,5.871559633,5.678233438,5.863192182,6.896551724,11.54446178,11.54446178,0.12793,0.24337
5,12.86,Air,18.525,1.440513219,0.804854369,0.760194175,0.750485437,0.788349515,0.497087379,0.446601942,3.974895397,4.12371134,4.004004004,3.930131004,6.820461384,6.419257773,0.17379,0.06796
6,13.73,Air,27.3039,1.988630736,0.692041522,0.759515571,0.702422145,0.666089965,0.527681661,0.480968858,4.561403509,4.597701149,4.562737643,4.498269896,5.190311419,5.882352941,-0.17128,-0.00865
7,13.02,Air,25.713,1.974884793,0.757869249,0.714285714,0.757869249,0.765133172,0.443099274,0.484261501,4.88997555,5.896805897,5.434782609,4.289544236,5.811138015,5.811138015,0.24939,0.25424
8,13.63,Air,22.1044,1.621746148,0.807058824,0.774117647,0.825882353,0.738823529,0.482352941,0.551764706,3.800475059,4.235294118,2.996254682,3.96039604,9.03686088,9.882352941,0.20118,0.055294
9,13.64,Air,22.922,1.680498534,0.728181818,0.744545455,0.738181818,0.779090909,0.541818182,0.560909091,4.363636364,5.090909091,3.554724041,3.367633302,5.981308411,5.607476636,0.25818,0.26818
10,13.61,Air,38.2803,2.812659809,0.662807525,0.661360347,0.597684515,0.574529667,0.512301013,0.512301013,6.051437216,5.788712012,7.703703704,6.518518519,8.669656203,8.669656203,0.017627,0.2865
11,13.7,Air,21.3442,1.557970803,0.656923077,0.604615385,0.74,0.749230769,0.618461538,0.618461538,4.307692308,3.966942149,3.883495146,3.703703704,4,4,-0.15538,0.0231
12,13.06,Air,32.0588,2.454732006,0.682758621,0.697931034,0.656551724,0.697931034,0.348965517,0.348965517,5.357142857,5.248618785,5.099150142,5.317577548,6.620689655,6.620689655,-0.16207,0
13,13.52,Air,38.0715,2.815939349,0.586867305,0.543091655,0.731874145,0.740082079,0.619699042,0.619699042,4.285714286,4.103967168,3.609022556,3.823529412,4.213483146,4.213483146,0.010944,0.0233
14,12.33,Air,37.4396,3.036463909,0.677672956,0.649371069,0.699685535,0.72327044,0.566037736,0.566037736,5.016722408,5.016722408,5.362776025,4.777070064,8.874801902,8.874801902,0.333,0.52987
15,12.71,Air,38.1562,3.002061369,0.652727273,0.718181818,0.716363636,0.709090909,0.64,0.616363636,4.588910134,4.363636364,4.363636364,4.615384615,5.818181818,5.090909091,-0.20364,0
16,13.49,Air,30.4132,2.254499629,0.741398446,0.720310766,0.779134295,0.774694784,0.527192009,0.527192009,3.827751196,4.181184669,3.551609323,3.995560488,7.981755986,7.981755986,0.23973,0.1975
1,13.37,water 2mm ,106.2267,7.945153328,0.732758621,0.655172414,0.668103448,0.668103448,0.409482759,0.409482759,8.620689655,10.34482759,10.34482759,10.34482759,9.482758621,9.482758621,0.81466,0.10776
2,13.37,water 2mm ,115.8659,8.666110696,0.607260726,0.607260726,0.564356436,0.564356436,0.442244224,0.442244224,7.920792079,7.920792079,7.920792079,7.920792079,6.600660066,6.600660066,0.9571,0.0429
3,13.37,water 2mm ,185.6179,13.8831638,0.407407407,0.407407407,0.401234568,0.401234568,0.416666667,0.416666667,8.641975309,8.641975309,8.641975309,8.641975309,8.641975309,8.641975309,0.8333,0.16667
4,13.96,water 2mm ,76.0485,5.447600287,0.579109063,0.579109063,0.56374808,0.56374808,0.420890937,0.420890937,4.915514593,4.915514593,4.915514593,4.915514593,4.915514593,4.915514593,0.63134,0.36866
5,12.86,water 2mm ,93.4813,7.269152411,0.522916667,0.564583333,0.570833333,0.48125,0.35625,0.3375,6.666666667,7.5,5.833333333,6.666666667,5.833333333,5.833333333,0.49375,0.05833
6,13.73,water 2mm ,137.3398,10.00289876,0.488262911,0.460093897,0.396713615,0.396713615,0.403755869,0.403755869,6.572769953,6.572769953,6.572769953,6.572769953,6.682577566,6.682577566,0.61502,0.14085
7,13.02,water 2mm ,117.5859,9.031175115,0.524934383,0.532808399,0.632545932,0.632545932,0.338582677,0.338582677,6.299212598,7.349081365,6.299212598,6.299212598,6.504065041,6.504065041,0.85039,0.057743
8,13.63,water 2mm ,62.6948,4.599765224,0.616901408,0.726760563,0.643661972,0.643661972,0.4,0.4,4.705882353,4.705882353,4.532577904,4.532577904,4.507042254,4.507042254,0.71972,0.17042
9,13.64,water 2mm ,63.5416,4.658475073,0.594565217,0.659782609,0.620652174,0.627173913,0.447826087,0.447826087,5.652173913,6.086956522,5.217391304,5.217391304,5.217391304,5.217391304,0.47609,0.18043
10,13.61,water 2mm ,69.1,5.077149155,0.437132785,0.494712103,0.549941246,0.549941246,0.50293772,0.50293772,5.170387779,5.170387779,5.170387779,5.170387779,5.170387779,5.170387779,0.55817,0.38425
11,13.7,water 2mm ,38.725,2.826642336,0.706,0.703333333,0.674666667,0.687333333,0.398666667,0.398666667,4.315576534,4.8,5.102763997,5.102763997,4.8,4.8,0.412,0.44067
12,13.06,water 2mm ,63.3428,4.850137825,0.610816543,0.564156946,0.611876988,0.610816543,0.374337222,0.374337222,5.117270789,5.100956429,5.117270789,5.095541401,5.090137858,5.090137858,0.59491,0.17073
13,13.52,water 2mm ,30.8001,2.278113905,0.66125,0.55875,0.65625,0.635,0.47375,0.47375,4,4.25,4.227212682,4.227212682,4.761904762,4.761904762,0.465,0.61125
14,12.33,water 2mm ,39.5023,3.203755069,0.602150538,0.801843318,0.732718894,0.731182796,0.408602151,0.408602151,5.222734255,3.84,4.903677758,3.84,3.877221325,3.877221325,0.40876,0.047619
15,12.71,water 2mm ,118.5332,9.325979544,0.333333333,0.359307359,0.476190476,0.476190476,0.493506494,0.493506494,7.792207792,7.792207792,7.792207792,7.792207792,7.792207792,7.792207792,0.67532,0.2987
1,13.37,water 4mm ,32.7544,2.449842932,0.686070686,0.696465696,0.77962578,0.775467775,0.517671518,0.517671518,3.455723542,3.539823009,3.271028037,4.88997555,5.485232068,5.485232068,0.47443,0.237
2,13.37,water 4mm ,162.9,12.18399402,0.485049834,0.485049834,0.594684385,0.594684385,0.235880399,0.235880399,6.037735849,6.037735849,6.037735849,6.037735849,6.751054852,6.751054852,0.89037,0.10963
3,13.37,water 4mm ,110.368,8.254899028,0.58925144,0.58925144,0.591170825,0.591170825,0.297504798,0.297504798,5.39083558,5.39083558,5.602240896,5.602240896,5.934718101,5.934718101,0.87524,0.12476
4,13.96,water 4mm ,163.1526,11.687149,0.442622951,0.393442623,0.31420765,0.31420765,0.469945355,0.469945355,7.650273224,7.650273224,7.650273224,7.650273224,7.650273224,7.650273224,0.77049,0.14208
5,12.86,water 4mm ,116.6035,9.06714619,0.467065868,0.467065868,0.417165669,0.417165669,0.493013972,0.493013972,6.222222222,6.222222222,6.100217865,6.100217865,6.422018349,6.422018349,0.82236,0.17764
6,13.73,water 4mm ,59.5458,4.336911872,0.50287687,0.551208285,0.392405063,0.392405063,0.422324511,0.422324511,4.602991945,4.14269275,5.063291139,5.063291139,4.602991945,4.602991945,0.47871,0.32336
7,13.02,water 4mm ,40.5344,3.113241167,0.638132296,0.566796368,0.610894942,0.640726329,0.459143969,0.459143969,4.324324324,4.324324324,4.283801874,5.354752343,4.24403183,4.24403183,0.41375,0.179
8,13.63,water 4mm ,67.6564,4.963785767,0.599315068,0.599315068,0.501141553,0.550228311,0.380136986,0.380136986,5.02283105,5.02283105,5.02283105,5.02283105,5.02283105,5.02283105,0.64612,0.30479
9,13.64,water 4mm ,72.7363,5.332573314,0.547341115,0.485084306,0.370946822,0.460440986,0.534370947,0.534370947,6.744487678,6.744487678,5.706874189,6.744487678,6.744487678,6.744487678,0.48638,0.11543
10,13.61,water 4mm ,32.979,2.423144747,0.614336918,0.617921147,0.472401434,0.515412186,0.564157706,0.564157706,4.301075269,4.301075269,4.58781362,4.58781362,6.594982079,6.594982079,0.619,0.3621
11,13.7,water 4mm ,51.1757,3.735452555,0.556530214,0.583820663,0.536062378,0.520467836,0.42202729,0.42202729,4.678362573,4.678362573,4.678362573,4.678362573,4.678362573,4.678362573,0.5117,0.31092
12,13.06,water 4mm ,84.7399,6.488506891,0.42556391,0.386466165,0.473684211,0.50075188,0.49924812,0.49924812,6.015037594,6.015037594,6.616541353,6.015037594,6.616541353,6.616541353,0.65714,0.27669
13,13.52,water 4mm ,84.204,6.228106509,0.498614958,0.459833795,0.470914127,0.470914127,0.421052632,0.421052632,4.494382022,4.494382022,4.986149584,4.986149584,4.597701149,4.597701149,0.72853,0.23269
14,12.33,water 4mm ,89.2428,7.237858881,0.506329114,0.506329114,0.287974684,0.287974684,0.373417722,0.373417722,5.063291139,5.063291139,5.696202532,5.696202532,5.063291139,5.063291139,0.5981,0.4019
15,12.71,water 4mm ,39.5647,3.112879622,0.542222222,0.593333333,0.542222222,0.571111111,0.502222222,0.502222222,4.888888889,4.444444444,4.975124378,4.975124378,5.333333333,5.333333333,0.52889,0.3911
16,13.49,water 4mm ,59.229,4.390585619,0.619341564,0.58436214,0.588477366,0.596707819,0.574074074,0.574074074,5.349794239,6.172839506,4.80349345,5.676855895,5.603448276,5.603448276,0.53745,0.17078
1,13.37,water 6mm ,202.6038,15.15361257,0.483660131,0.490196078,0.307189542,0.248366013,0.470588235,0.477124183,7.843137255,7.843137255,7.843137255,5.22875817,6.535947712,6.535947712,0.72549,0.14379
2,13.37,water 6mm ,115.0955,8.608489155,0.371257485,0.379241517,0.141716567,0.181636727,0.399201597,0.399201597,5.679513185,5.679513185,2.395209581,3.992015968,4.848484848,4.848484848,0.65868,0.18962
3,13.37,water 6mm ,106.774,7.986088257,0.375757576,0.375757576,0.349494949,0.349494949,0.371717172,0.371717172,7.272727273,7.272727273,7.272727273,7.272727273,6.464646465,6.464646465,0.92525,0.074747
4,13.96,water 6mm ,52.4817,3.759434097,0.555950266,0.558614565,0,0,0.436944938,0.436944938,4.618117229,4.618117229,0,0,4.684684685,4.684684685,0.79076,0.50533
7,13.02,water 6mm ,89.7234,6.891198157,0.516,0.546,0.356,0.356,0.418,0.418,4.968944099,4.968944099,4,4,5.150214592,5.150214592,0.708,0.262
